DDPairs,index
Troglitazone_Mesterolone,73
Troglitazone_Mesalazine,74
Troglitazone_Pirlindole,75
Troglitazone_Pheniprazine,76
Troglitazone_Dapagliflozin,77
Troglitazone_Empagliflozin,78
Troglitazone_Phenoxypropazine,79
"Troglitazone_7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",80
Troglitazone_Octamoxin,81
Troglitazone_Phenelzine,82
Troglitazone_Thiosalicylic acid,83
Troglitazone_Canagliflozin,84
Troglitazone_Nialamide,85
Troglitazone_Hydracarbazine,86
Troglitazone_Stanozolol,87
Troglitazone_Isocarboxazid,88
Troglitazone_Phenyl aminosalicylate,89
Troglitazone_Diflunisal,90
Troglitazone_Minaprine,91
Troglitazone_Caroxazone,92
Troglitazone_Nandrolone,93
Troglitazone_Testosterone undecanoate,94
Troglitazone_Fluoxymesterone,95
Troglitazone_Pivhydrazine,96
Troglitazone_Clorgiline,97
Troglitazone_Furazolidone,98
Troglitazone_Mebanazine,99
Troglitazone_Aminosalicylic acid,100
Troglitazone_Stanolone,101
Troglitazone_Rasagiline,102
Troglitazone_Safrazine,103
Troglitazone_Pargyline,104
Troglitazone_Oxymetholone,105
Troglitazone_Moclobemide,106
Troglitazone_Nandrolone phenpropionate,107
Troglitazone_Linezolid,108
Troglitazone_Procarbazine,109
Troglitazone_Safinamide,110
Troglitazone_Brofaromine,111
Troglitazone_Methyl salicylate,112
Troglitazone_Benmoxin,113
Troglitazone_Toloxatone,114
Troglitazone_Nandrolone decanoate,115
Troglitazone_Gimatecan,116
Troglitazone_Enalapril,117
Troglitazone_Dinoprostone,118
Troglitazone_Atrasentan,119
Troglitazone_Temocapril,120
Troglitazone_Levosalbutamol,121
Troglitazone_Fexofenadine,122
Troglitazone_Penicillamine,123
Troglitazone_Fimasartan,124
Troglitazone_Ouabain,125
Troglitazone_Benzylpenicillin,126
Troglitazone_(R)-warfarin,127
Troglitazone_(S)-Warfarin,128
Troglitazone_Iproniazid,129
Troglitazone_Abiraterone,130
Troglitazone_Ticlopidine,131
Troglitazone_Niflumic acid,132
Troglitazone_Sulfaphenazole,133
Troglitazone_Floxuridine,134
Troglitazone_Ketoprofen,135
Troglitazone_Nicardipine,136
Troglitazone_Clopidogrel,137
Troglitazone_Miconazole,138
Troglitazone_Candesartan cilexetil,139
Troglitazone_Teriflunomide,140
Troglitazone_Topiroxostat,141
Troglitazone_Raloxifene,142
Troglitazone_Flecainide,143
Troglitazone_Pranlukast,144
Troglitazone_Ethambutol,145
Troglitazone_Nilvadipine,146
Troglitazone_Avasimibe,147
Troglitazone_Rifamycin,148
Troglitazone_Methimazole,149
Troglitazone_Silibinin,150
Troglitazone_Tienilic acid,151
Troglitazone_Diacerein,152
Troglitazone_Asciminib,153
Troglitazone_Quercetin,154
Troglitazone_Trametinib,155
Troglitazone_Chenodeoxycholic acid,156
Troglitazone_Bezafibrate,157
Troglitazone_Oxybutynin,158
Troglitazone_Armodafinil,159
Troglitazone_Tepotinib,160
Troglitazone_Gemfibrozil,161
Troglitazone_Cyclizine,162
Troglitazone_Adenine,163
Troglitazone_Pyrimethamine,164
Troglitazone_Genistein,165
Troglitazone_Agomelatine,166
Troglitazone_Rhein,167
Troglitazone_Favipiravir,168
Troglitazone_Felodipine,169
Troglitazone_Delavirdine,170
Troglitazone_Felbamate,171
Troglitazone_Rucaparib,172
Troglitazone_Nabilone,173
Troglitazone_Lumacaftor,174
Troglitazone_Noscapine,175
Troglitazone_Diosmin,176
Troglitazone_Stiripentol,177
Troglitazone_Fostamatinib,178
Troglitazone_Clevidipine,179
Troglitazone_Nilutamide,180
Troglitazone_Seproxetine,181
Troglitazone_Manidipine,182
Troglitazone_Levoketoconazole,183
Troglitazone_Oxandrolone,184
Troglitazone_Umifenovir,185
Troglitazone_Tranylcypromine,186
Troglitazone_Desogestrel,187
Troglitazone_Lamotrigine,188
Troglitazone_Apremilast,189
Troglitazone_Tecovirimat,190
Troglitazone_Testosterone propionate,191
Troglitazone_Avatrombopag,192
Troglitazone_Mitapivat,193
Troglitazone_Secobarbital,194
Troglitazone_Primidone,195
Troglitazone_Ethinylestradiol,196
Troglitazone_Zidovudine,197
Troglitazone_Ivosidenib,198
Troglitazone_Beraprost,199
Troglitazone_Gefitinib,200
Troglitazone_Phenacetin,201
Troglitazone_Cabozantinib,202
Troglitazone_Flunitrazepam,203
Troglitazone_Levamlodipine,204
Troglitazone_Netoglitazone,205
Troglitazone_Lumiracoxib,206
Troglitazone_Estradiol dienanthate,207
Troglitazone_Hydromorphone,208
Troglitazone_Muraglitazar,209
Troglitazone_Diltiazem,210
Troglitazone_Cannabidiol,211
Troglitazone_Omeprazole,212
Troglitazone_Dronabinol,213
Troglitazone_Zaltoprofen,214
Troglitazone_Eletriptan,215
Troglitazone_Boceprevir,216
Troglitazone_Formoterol,217
Troglitazone_Ketorolac,218
Troglitazone_Cinnarizine,219
Troglitazone_Hydrocortisone phosphate,220
Troglitazone_Ramelteon,221
Troglitazone_Finerenone,222
Troglitazone_Cannabinol,223
Troglitazone_Flutamide,224
Troglitazone_Phenylbutazone,225
Troglitazone_Relugolix,226
Troglitazone_Artemether,227
Troglitazone_Celecoxib,228
Troglitazone_Cisapride,229
Troglitazone_Treprostinil,230
Troglitazone_Piroxicam,231
Troglitazone_Triclabendazole,232
Troglitazone_Ketamine,233
Troglitazone_Finasteride,234
Troglitazone_Tezacaftor,235
Troglitazone_Anastrozole,236
Troglitazone_Fexinidazole,237
Troglitazone_Testosterone,238
Troglitazone_Sitaxentan,239
Troglitazone_Doconexent,240
Troglitazone_Nisoldipine,241
Troglitazone_Diazepam,242
Troglitazone_Vismodegib,243
Troglitazone_Tretinoin,244
Troglitazone_Alprazolam,245
Troglitazone_Riociguat,246
Troglitazone_Almotriptan,247
Troglitazone_Tucatinib,248
Troglitazone_Zopiclone,249
Troglitazone_Hexobarbital,250
Troglitazone_Doxazosin,251
Troglitazone_Selegiline,252
Troglitazone_Zileuton,253
Troglitazone_Ibuprofen,254
Troglitazone_Azelastine,255
Troglitazone_Etoricoxib,256
Troglitazone_Estradiol cypionate,257
Troglitazone_Tazarotene,258
Troglitazone_Lansoprazole,259
Troglitazone_Alosetron,260
Troglitazone_Arformoterol,261
Troglitazone_Perospirone,262
Troglitazone_Fluindione,263
Troglitazone_Etravirine,264
Troglitazone_Indisulam,265
Troglitazone_Loperamide,266
Troglitazone_Antipyrine,267
Troglitazone_Esketamine,268
Troglitazone_Balaglitazone,269
Troglitazone_Netupitant,270
Troglitazone_Halofantrine,271
Troglitazone_Mycophenolate mofetil,272
Troglitazone_Avanafil,273
Troglitazone_Praziquantel,274
Troglitazone_Benzyl alcohol,275
Troglitazone_Aprepitant,276
Troglitazone_Valproic acid,277
Troglitazone_Thalidomide,278
Troglitazone_Nabumetone,279
Troglitazone_Midazolam,280
Troglitazone_Donepezil,281
Troglitazone_Chlorpheniramine,282
Troglitazone_Selexipag,283
Troglitazone_Candesartan,284
Troglitazone_Zaleplon,285
Troglitazone_Hydroxyzine,286
Troglitazone_Propofol,287
Troglitazone_Tranilast,288
Troglitazone_Irbesartan,289
Troglitazone_Vonoprazan,290
Troglitazone_Dexibuprofen,291
Troglitazone_Valbenazine,292
Troglitazone_Idarubicin,293
Troglitazone_Ozanimod,294
Troglitazone_Dicoumarol,295
Troglitazone_Tolterodine,296
Troglitazone_Methadone,297
Troglitazone_Olodaterol,298
Troglitazone_Methoxyflurane,299
Troglitazone_Buprenorphine,300
Troglitazone_Chloroquine,301
Troglitazone_Capravirine,302
Troglitazone_Thiamylal,303
Troglitazone_Vortioxetine,304
Troglitazone_Quinacrine,305
Troglitazone_Nevirapine,306
Troglitazone_Doravirine,307
Troglitazone_Bupropion,308
Troglitazone_Dasabuvir,309
Troglitazone_Benidipine,310
Troglitazone_Ivacaftor,311
Troglitazone_Testosterone cypionate,312
Troglitazone_Brivaracetam,313
Troglitazone_Paramethadione,314
Troglitazone_Morphine,315
Troglitazone_Trimethadione,316
Troglitazone_Meloxicam,317
Troglitazone_Cilostazol,318
Troglitazone_Ondansetron,319
Troglitazone_Tadalafil,320
Troglitazone_Rivoglitazone,321
Troglitazone_Fluorouracil,322
Troglitazone_Licofelone,323
Troglitazone_Amodiaquine,324
Troglitazone_Mobocertinib,325
Troglitazone_Sildenafil,326
Troglitazone_Propacetamol,327
Troglitazone_Lobeglitazone,328
Troglitazone_Domperidone,329
Troglitazone_Proguanil,330
Troglitazone_Valsartan,331
Troglitazone_Quazepam,332
Troglitazone_Phenobarbital,333
Troglitazone_Cenobamate,334
Troglitazone_Zafirlukast,335
Troglitazone_Etodolac,336
Troglitazone_Lacosamide,337
Troglitazone_Aminophenazone,338
Troglitazone_Lorlatinib,339
Troglitazone_Ambrisentan,340
Troglitazone_Seratrodast,341
Troglitazone_Valdecoxib,342
Troglitazone_Prasugrel,343
Troglitazone_Piperaquine,344
Troglitazone_Oxycodone,345
Troglitazone_Amprenavir,346
Troglitazone_Flunarizine,347
Troglitazone_Niclosamide,348
Troglitazone_Apalutamide,349
Troglitazone_Lonafarnib,350
Troglitazone_Deutetrabenazine,351
Troglitazone_Fluvastatin,352
Troglitazone_Pirfenidone,353
Troglitazone_Tegafur,354
Troglitazone_Trimipramine,355
Troglitazone_Odanacatib,356
Troglitazone_Rupatadine,357
Troglitazone_Lornoxicam,358
Troglitazone_Voriconazole,359
Troglitazone_Estradiol benzoate,360
Troglitazone_Ibrutinib,361
Troglitazone_Glasdegib,362
Troglitazone_Metronidazole,363
Troglitazone_Trazodone,364
Troglitazone_Promazine,365
Troglitazone_Leflunomide,366
Troglitazone_Ticagrelor,367
Troglitazone_Alfentanil,368
Troglitazone_Coumarin,369
Troglitazone_Estradiol valerate,370
Troglitazone_Apomorphine,371
Troglitazone_Lynestrenol,372
Troglitazone_Mefenamic acid,373
Troglitazone_Bosentan,374
Troglitazone_Flurbiprofen,375
Troglitazone_Istradefylline,376
Troglitazone_Triazolam,377
Troglitazone_Ximelagatran,378
Troglitazone_Dutasteride,379
Troglitazone_Lercanidipine,380
Troglitazone_Phenytoin,381
Troglitazone_Selumetinib,382
Troglitazone_Bexarotene,383
Troglitazone_Udenafil,384
Troglitazone_Dapsone,385
Troglitazone_Terbinafine,386
Troglitazone_Apixaban,387
Troglitazone_Ospemifene,388
Troglitazone_Vicriviroc,389
Troglitazone_Montelukast,390
Troglitazone_Azimilide,391
Troglitazone_Buspirone,392
Troglitazone_Rofecoxib,393
Troglitazone_Icotinib,394
Troglitazone_Halothane,395
Troglitazone_Estradiol acetate,396
Troglitazone_Verapamil,397
Troglitazone_Lapatinib,398
Troglitazone_Parecoxib,399
Troglitazone_Ketobemidone,400
Troglitazone_Testosterone enanthate,401
Troglitazone_Rivaroxaban,402
Troglitazone_Modafinil,403
Troglitazone_Capecitabine,404
Troglitazone_Tenoxicam,405
Troglitazone_Eplerenone,406
Troglitazone_Roxadustat,407
Troglitazone_Lesinurad,408
Troglitazone_Ciglitazone,409
Troglitazone_Fentanyl,410
Troglitazone_Mycophenolic acid,411
Troglitazone_Arachidonic Acid,412
Troglitazone_Elagolix,413
Troglitazone_Mephenytoin,414
Troglitazone_Vardenafil,415
Troglitazone_Trimethoprim,416
Troglitazone_Nomegestrol,417
Troglitazone_Ethylmorphine,418
Troglitazone_Tamoxifen,419
Troglitazone_Phenprocoumon,420
Troglitazone_Dihydroergocornine,421
Troglitazone_Busulfan,422
Troglitazone_Teniposide,423
Troglitazone_Regorafenib,424
Troglitazone_Isavuconazole,425
Troglitazone_Acenocoumarol,426
Troglitazone_Panobinostat,427
Troglitazone_Pretomanid,428
Troglitazone_Nintedanib,429
Troglitazone_Erdafitinib,430
Troglitazone_Cyclophosphamide,431
Troglitazone_Ixabepilone,432
Troglitazone_Palbociclib,433
Troglitazone_Dasatinib,434
Troglitazone_Norelgestromin,435
Troglitazone_Isoflurane,436
Troglitazone_Methyltestosterone,437
Troglitazone_Norethindrone enanthate,438
Troglitazone_Nicotine,439
Troglitazone_Gilteritinib,440
Troglitazone_Ifosfamide,441
Troglitazone_Tenofovir alafenamide,442
Troglitazone_Tianeptine,443
Troglitazone_Tazemetostat,444
Troglitazone_Quinidine,445
Troglitazone_Norethynodrel,446
Troglitazone_Segesterone acetate,447
Troglitazone_Romidepsin,448
Troglitazone_Trestolone,449
Troglitazone_Milnacipran,450
Troglitazone_Lomitapide,451
Troglitazone_Carbamazepine,452
Troglitazone_Copanlisib,453
Troglitazone_Neratinib,454
Troglitazone_Zolpidem,455
Troglitazone_Tolvaptan,456
Troglitazone_Clobazam,457
Troglitazone_Hydrocodone,458
Troglitazone_Tramadol,459
Troglitazone_Albendazole,460
Troglitazone_Bosutinib,461
"Troglitazone_R,S-Warfarin alcohol",462
Troglitazone_Clindamycin,463
Troglitazone_Cabergoline,464
Troglitazone_Amiodarone,465
Troglitazone_Sunitinib,466
Troglitazone_Methylphenobarbital,467
Troglitazone_Cloprostenol,468
Troglitazone_Pexidartinib,469
Troglitazone_Nomegestrol acetate,470
Troglitazone_Irinotecan,471
Troglitazone_Linagliptin,472
Troglitazone_Brompheniramine,473
Troglitazone_Cobimetinib,474
Troglitazone_Gossypol,475
Troglitazone_Bicalutamide,476
Troglitazone_Alectinib,477
Troglitazone_Theophylline,478
Troglitazone_Brigatinib,479
Troglitazone_Epinastine,480
Troglitazone_Dofetilide,481
Troglitazone_Dihydroergotamine,482
Troglitazone_Artemisinin,483
Troglitazone_Fosphenytoin,484
Troglitazone_Clonidine,485
Troglitazone_Quingestanol,486
Troglitazone_Abemaciclib,487
Troglitazone_Sonidegib,488
Troglitazone_Aripiprazole,489
Troglitazone_Idelalisib,490
Troglitazone_Tivozanib,491
Troglitazone_Perhexiline,492
Troglitazone_Ranolazine,493
Troglitazone_Amlodipine,494
Troglitazone_Ceritinib,495
Troglitazone_Dacomitinib,496
Troglitazone_Ergotamine,497
Troglitazone_Demegestone,498
Troglitazone_Pimozide,499
Troglitazone_Methysergide,500
"Troglitazone_S,R-Warfarin alcohol",501
Troglitazone_Ebastine,502
Troglitazone_Nilotinib,503
Troglitazone_Cephalexin,504
Troglitazone_Olaparib,505
Troglitazone_Ponatinib,506
Troglitazone_p-Coumaric acid,507
Troglitazone_Duvelisib,508
Troglitazone_Ribociclib,509
Troglitazone_Osilodrostat,510
Troglitazone_Gestodene,511
Troglitazone_Elexacaftor,512
Troglitazone_Sorafenib,513
Troglitazone_Infigratinib,514
Troglitazone_Ormeloxifene,515
Troglitazone_Methylprednisone,516
Troglitazone_Dosulepin,517
Troglitazone_Gestrinone,518
Troglitazone_Meperidine,519
Troglitazone_Entrectinib,520
Troglitazone_Sevoflurane,521
Troglitazone_Enasidenib,522
Troglitazone_Banoxantrone,523
Troglitazone_Lonidamine,524
Troglitazone_Clomethiazole,525
Troglitazone_Nortriptyline,526
Troglitazone_Vorapaxar,527
Troglitazone_Rimegepant,528
Troglitazone_Clomipramine,529
Troglitazone_Osimertinib,530
Troglitazone_Pomalidomide,531
Troglitazone_Levacetylmethadol,532
Troglitazone_Pazopanib,533
Troglitazone_Zuclopenthixol,534
Troglitazone_Clonazepam,535
Troglitazone_Perampanel,536
Troglitazone_Fosaprepitant,537
Troglitazone_Roflumilast,538
Troglitazone_Vemurafenib,539
Troglitazone_Levomilnacipran,540
Troglitazone_Benzocaine,541
Troglitazone_Norgestrienone,542
Troglitazone_Midostaurin,543
Troglitazone_Mexiletine,544
Troglitazone_Etoposide,545
Troglitazone_Ruxolitinib,546
Troglitazone_Lorcaserin,547
Troglitazone_Methotrexate,548
Troglitazone_9-aminocamptothecin,549
Troglitazone_Warfarin,550
Troglitazone_Crizotinib,551
Troglitazone_Ulipristal,552
Troglitazone_Promethazine,553
Troglitazone_Doxorubicin,554
Troglitazone_Lefamulin,555
Troglitazone_Pimavanserin,556
Troglitazone_Conivaptan,557
Troglitazone_Chlormadinone,558
Troglitazone_Fenfluramine,559
Troglitazone_Vandetanib,560
Troglitazone_Thiotepa,561
Troglitazone_Etynodiol,562
Troglitazone_Allylestrenol,563
Troglitazone_Clotiazepam,564
Troglitazone_Astemizole,565
Troglitazone_Acalabrutinib,566
Troglitazone_Tasimelteon,567
Troglitazone_Suvorexant,568
Troglitazone_Zanubrutinib,569
Troglitazone_Triptolide,570
Troglitazone_Benzphetamine,571
Troglitazone_Mianserin,572
Troglitazone_Axitinib,573
Troglitazone_Siponimod,574
Troglitazone_Obeticholic acid,575
Troglitazone_Hydrocortisone cypionate,576
Troglitazone_Clobetasol,577
Troglitazone_Prednicarbate,578
Troglitazone_Fludrocortisone,579
Troglitazone_Flumethasone,580
Troglitazone_Fluocinonide,581
Troglitazone_Fluocortolone pivalate,582
Troglitazone_Prednisolone acetate,583
Troglitazone_Prednisone,584
Troglitazone_Prednylidene,585
Troglitazone_Mometasone furoate,586
Troglitazone_Methylprednisolone,587
Troglitazone_Clobetasone,588
Troglitazone_Fluticasone propionate,589
Troglitazone_Melengestrol,590
Troglitazone_Cortisone acetate,591
Troglitazone_Clocortolone,592
Troglitazone_Loteprednol,593
Troglitazone_Fluprednidene acetate,594
Troglitazone_Hydrocortisone acetate,595
Troglitazone_Fluticasone furoate,596
Troglitazone_Difluprednate,597
Troglitazone_Budesonide,598
Troglitazone_Fluocortolone caproate,599
Troglitazone_Fluclorolone,600
Troglitazone_Hydrocortisone aceponate,601
Troglitazone_Fluticasone,602
Troglitazone_Flurandrenolide,603
Troglitazone_Methylprednisolone aceponate,604
Troglitazone_Hydrocortisone butyrate,605
Troglitazone_Aldosterone,606
Troglitazone_Flunisolide,607
Troglitazone_Medrysone,608
Troglitazone_Melengestrol acetate,609
Troglitazone_Betamethasone,610
Troglitazone_Ulobetasol,611
Troglitazone_Hydrocortisone valerate,612
Troglitazone_Alclometasone,613
Troglitazone_Hydrocortisone probutate,614
Troglitazone_Betamethasone phosphate,615
Troglitazone_Halometasone,616
Troglitazone_Clocortolone acetate,617
Troglitazone_Amcinonide,618
Troglitazone_Difluocortolone,619
Troglitazone_Formocortal,620
Troglitazone_Cortivazol,621
Troglitazone_Desonide,622
Troglitazone_Dexamethasone isonicotinate,623
Troglitazone_Prednisolone hemisuccinate,624
Troglitazone_Mometasone,625
Troglitazone_Tixocortol,626
Troglitazone_Prednisone acetate,627
Troglitazone_Fluorometholone,628
Troglitazone_Triamcinolone,629
Troglitazone_Fluocinolone acetonide,630
Troglitazone_Fluprednidene,631
Troglitazone_Hydrocortisone,632
Troglitazone_Prednisolone,633
Troglitazone_Fluocortolone,634
Troglitazone_Halcinonide,635
Troglitazone_Cortisone,636
Troglitazone_Fluperolone,637
Troglitazone_Clobetasol propionate,638
Troglitazone_Paramethasone,639
Troglitazone_Dexamethasone acetate,640
Troglitazone_Prednisolone phosphate,641
Troglitazone_Trilostane,642
Troglitazone_Fluprednisolone,643
Troglitazone_Dexamethasone,644
Troglitazone_Fluocortin,645
Troglitazone_Methylprednisolone hemisuccinate,646
Troglitazone_Rimexolone,647
Troglitazone_Hydrocortisone succinate,648
Troglitazone_Desoximetasone,649
Troglitazone_Beclomethasone dipropionate,650
Troglitazone_Meprednisone,651
Troglitazone_Deflazacort,652
Troglitazone_Cloprednol,653
Troglitazone_Diflorasone,654
Troglitazone_Ciclesonide,655
Troglitazone_Allicin,656
Troglitazone_Anagliptin,657
Troglitazone_Omarigliptin,658
Troglitazone_Carmegliptin,659
Troglitazone_Bisegliptin,660
Troglitazone_Bromocriptine,661
Troglitazone_Gosogliptin,662
"Troglitazone_2,4-thiazolidinedione",663
Troglitazone_Mitiglinide,664
Troglitazone_Sotagliflozin,665
Troglitazone_Alogliptin,666
Troglitazone_Luseogliflozin,667
Troglitazone_AICA ribonucleotide,668
Troglitazone_Phenformin,669
Troglitazone_AMG-222,670
Troglitazone_Ipragliflozin,671
Troglitazone_Gemigliptin,672
Troglitazone_Tofogliflozin,673
Troglitazone_Metformin,674
Troglitazone_Voglibose,675
Troglitazone_Vildagliptin,676
Troglitazone_Benfluorex,677
Troglitazone_Englitazone,678
Troglitazone_Teneligliptin,679
Troglitazone_Remogliflozin etabonate,680
Troglitazone_Fluconazole,681
Troglitazone_Evogliptin,682
Troglitazone_Buformin,683
Troglitazone_Aranidipine,684
Troglitazone_Fluoxetine,685
Troglitazone_Duloxetine,686
Troglitazone_Cilnidipine,687
Troglitazone_Ritanserin,688
Troglitazone_Cibenzoline,689
Troglitazone_Ethosuximide,690
Troglitazone_Nimesulide,691
Troglitazone_Dexverapamil,692
Troglitazone_Quinine,693
Troglitazone_Dexniguldipine,694
Troglitazone_Mibefradil,695
Troglitazone_Penfluridol,696
Troglitazone_Carboxyamidotriazole,697
Troglitazone_Naftopidil,698
Troglitazone_Desvenlafaxine,699
Troglitazone_Sertraline,700
Troglitazone_Caroverine,701
Troglitazone_Clinafloxacin,702
Troglitazone_Lidoflazine,703
Troglitazone_Azelnidipine,704
Troglitazone_Bencyclane,705
Troglitazone_Lomerizine,706
Troglitazone_Bepridil,707
Troglitazone_Indalpine,708
Troglitazone_Gallopamil,709
Troglitazone_Cyclandelate,710
Troglitazone_Darodipine,711
Troglitazone_Pioglitazone,712
Troglitazone_Venlafaxine,713
Troglitazone_Seletracetam,714
Troglitazone_Terodiline,715
Troglitazone_Miglitol,716
Troglitazone_Benazepril,717
Troglitazone_Trimebutine,718
Troglitazone_Dotarizine,719
Troglitazone_Fendiline,720
Troglitazone_Dapoxetine,721
Troglitazone_Efonidipine,722
Troglitazone_Eperisone,723
Troglitazone_Sotalol,724
Troglitazone_Escitalopram,725
Troglitazone_Prenylamine,726
Troglitazone_Fluspirilene,727
Troglitazone_Acetylsalicylic acid,728
Troglitazone_Disopyramide,729
Troglitazone_Lipoic acid,730
Troglitazone_Pinaverium,731
Troglitazone_Tetrahydropalmatine,732
Troglitazone_Xylometazoline,733
Troglitazone_Citalopram,734
Troglitazone_Zimelidine,735
Troglitazone_Sitagliptin,736
Troglitazone_Paroxetine,737
Troglitazone_Sulfisoxazole,738
Troglitazone_Emopamil,739
Troglitazone_Vinpocetine,740
Troglitazone_Barnidipine,741
Troglitazone_Lacidipine,742
Troglitazone_Methsuximide,743
Troglitazone_Nimodipine,744
Troglitazone_Acarbose,745
Troglitazone_Agmatine,746
Troglitazone_Nylidrin,747
Troglitazone_WIN 55212-2,748
Troglitazone_Tetrandrine,749
Troglitazone_Saxagliptin,750
Troglitazone_Sulfadiazine,751
Troglitazone_Niguldipine,752
Troglitazone_Alaproclate,753
Troglitazone_Reserpine,754
Troglitazone_Letermovir,755
Troglitazone_Olmesartan,756
Troglitazone_Fusidic acid,757
Troglitazone_Cimetidine,758
Troglitazone_Lenvatinib,759
Troglitazone_Ketotifen,760
Troglitazone_Pregabalin,761
Troglitazone_Alpelisib,762
Troglitazone_Dabrafenib,763
Troglitazone_Mavacamten,764
Troglitazone_Enzalutamide,765
Troglitazone_Mifepristone,766
Troglitazone_Linzagolix,767
Troglitazone_Lemborexant,768
Troglitazone_Eszopiclone,769
Troglitazone_Erlotinib,770
Troglitazone_Selpercatinib,771
Troglitazone_Capmatinib,772
Troglitazone_Lumateperone,773
Troglitazone_Rilpivirine,774
Troglitazone_Oliceridine,775
Troglitazone_Deferiprone,776
Troglitazone_Atogepant,777
Troglitazone_Eluxadoline,778
Troglitazone_Cyclopenthiazide,779
Troglitazone_Quinethazone,780
Troglitazone_Pipotiazine,781
Troglitazone_Bumetanide,782
Troglitazone_Risperidone,783
Troglitazone_Diazoxide,784
Troglitazone_Indapamide,785
Troglitazone_Chlorpromazine,786
Troglitazone_Baclofen,787
Troglitazone_Paliperidone,788
Troglitazone_Liothyronine,789
Troglitazone_Methotrimeprazine,790
Troglitazone_Drospirenone,791
Troglitazone_Levothyroxine,792
Troglitazone_Lurasidone,793
Troglitazone_Hydroflumethiazide,794
Troglitazone_Etacrynic acid,795
Troglitazone_Ziprasidone,796
Troglitazone_Danazol,797
Troglitazone_Furosemide,798
Troglitazone_Chlorothiazide,799
Troglitazone_Dienogest,800
Troglitazone_Medroxyprogesterone acetate,801
Troglitazone_Mestranol,802
Troglitazone_Cyclothiazide,803
Troglitazone_Torasemide,804
Troglitazone_Cyproterone acetate,805
Troglitazone_Metolazone,806
Troglitazone_Benzthiazide,807
Troglitazone_Iloperidone,808
Troglitazone_Isoniazid,809
Troglitazone_Pentamidine,810
Troglitazone_Haloperidol,811
Troglitazone_Articaine,812
Troglitazone_Brexpiprazole,813
Troglitazone_Levonorgestrel,814
Troglitazone_Polythiazide,815
Troglitazone_Methyclothiazide,816
Troglitazone_Norgestimate,817
Troglitazone_Estradiol,818
Troglitazone_Estrone sulfate,819
Troglitazone_Etonogestrel,820
Troglitazone_Chlorthalidone,821
Troglitazone_Epitizide,822
Troglitazone_Progesterone,823
Troglitazone_Estetrol,824
Troglitazone_Darunavir,825
Troglitazone_Hydroxyprogesterone caproate,826
Troglitazone_Norethisterone,827
Troglitazone_Megestrol acetate,828
Troglitazone_Ethynodiol diacetate,829
Troglitazone_Mebutizide,830
Troglitazone_Bendroflumethiazide,831
Troglitazone_Niacin,832
Troglitazone_Epinephrine,833
Troglitazone_Pseudoephedrine,834
Troglitazone_Quetiapine,835
Troglitazone_Vorinostat,836
Troglitazone_Hydrochlorothiazide,837
Troglitazone_Piperazine,838
